Key,Value
domain_info_error,module 'whois' has no attribute 'whois'
network_info_ip_addresses_ipv4_addresses,['20.205.243.166']
network_info_ip_addresses_ipv6_addresses,[]
network_info_ip_details,"[{'ip': '20.205.243.166', 'country': 'Singapore', 'country_code': 'SG', 'region': 'Central Singapore', 'city': 'Singapore', 'zip': '168812', 'latitude': 1.283, 'longitude': 103.833, 'timezone': 'Asia/Singapore', 'isp': 'Microsoft Corporation', 'organization': 'Microsoft Azure Cloud (southeastasia)', 'as_number': 'AS8075 Microsoft Corporation', 'as_name': None}]"
network_info_reverse_dns,
network_info_open_ports_22,SSH
network_info_open_ports_80,HTTP
network_info_open_ports_443,HTTPS
network_info_ping_test,"Pinging github.com [20.205.243.166] with 32 bytes of data:
Reply from 20.205.243.166: bytes=32 time=29ms TTL=114
Reply from 20.205.243.166: bytes=32 time=30ms TTL=114
Reply from 20.205.243.166: bytes=32 time=28ms TTL=114
Reply from 20.205.243.166: bytes=32 time=32ms TTL=114

Ping statistics for 20.205.243.166:
    Packets: Sent = 4, Received = 4, Lost = 0 (0% loss),
Approximate round trip times in milli-seconds:
    Minimum = 28ms, Maximum = 32ms, Average = 29ms"
ssl_info_issuer_countryName,GB
ssl_info_issuer_stateOrProvinceName,Greater Manchester
ssl_info_issuer_localityName,Salford
ssl_info_issuer_organizationName,Sectigo Limited
ssl_info_issuer_commonName,Sectigo ECC Domain Validation Secure Server CA
ssl_info_subject_commonName,github.com
ssl_info_version,3
ssl_info_serial_number,4E28F786B66C1A3B942CD2C40EB742A5
ssl_info_not_before,Mar  7 00:00:00 2024 GMT
ssl_info_not_after,Mar  7 23:59:59 2025 GMT
ssl_info_san,"(('DNS', 'github.com'), ('DNS', 'www.github.com'))"
ssl_info_ocsp,"('http://ocsp.sectigo.com',)"
ssl_info_crl_distribution_points,[]
security_info_headers_Strict-Transport-Security,max-age=31536000; includeSubdomains; preload
security_info_headers_Content-Security-Policy,default-src 'none'; base-uri 'self'; child-src github.com/assets-cdn/worker/ github.com/webpack/ github.com/assets/ gist.github.com/assets-cdn/worker/; connect-src 'self' uploads.github.com www.githubstatus.com collector.github.com raw.githubusercontent.com api.github.com github-cloud.s3.amazonaws.com github-production-repository-file-5c1aeb.s3.amazonaws.com github-production-upload-manifest-file-7fdce7.s3.amazonaws.com github-production-user-asset-6210df.s3.amazonaws.com *.rel.tunnels.api.visualstudio.com wss://*.rel.tunnels.api.visualstudio.com objects-origin.githubusercontent.com copilot-proxy.githubusercontent.com proxy.individual.githubcopilot.com proxy.business.githubcopilot.com proxy.enterprise.githubcopilot.com *.actions.githubusercontent.com wss://*.actions.githubusercontent.com productionresultssa0.blob.core.windows.net/ productionresultssa1.blob.core.windows.net/ productionresultssa2.blob.core.windows.net/ productionresultssa3.blob.core.windows.net/ productionresultssa4.blob.core.windows.net/ productionresultssa5.blob.core.windows.net/ productionresultssa6.blob.core.windows.net/ productionresultssa7.blob.core.windows.net/ productionresultssa8.blob.core.windows.net/ productionresultssa9.blob.core.windows.net/ productionresultssa10.blob.core.windows.net/ productionresultssa11.blob.core.windows.net/ productionresultssa12.blob.core.windows.net/ productionresultssa13.blob.core.windows.net/ productionresultssa14.blob.core.windows.net/ productionresultssa15.blob.core.windows.net/ productionresultssa16.blob.core.windows.net/ productionresultssa17.blob.core.windows.net/ productionresultssa18.blob.core.windows.net/ productionresultssa19.blob.core.windows.net/ github-production-repository-image-32fea6.s3.amazonaws.com github-production-release-asset-2e65be.s3.amazonaws.com insights.github.com wss://alive.github.com api.githubcopilot.com api.individual.githubcopilot.com api.business.githubcopilot.com api.enterprise.githubcopilot.com github.githubassets.com edge.fullstory.com rs.fullstory.com; font-src github.githubassets.com; form-action 'self' github.com gist.github.com copilot-workspace.githubnext.com objects-origin.githubusercontent.com; frame-ancestors 'none'; frame-src viewscreen.githubusercontent.com notebooks.githubusercontent.com www.youtube-nocookie.com; img-src 'self' data: blob: github.githubassets.com media.githubusercontent.com camo.githubusercontent.com identicons.github.com avatars.githubusercontent.com private-avatars.githubusercontent.com github-cloud.s3.amazonaws.com objects.githubusercontent.com secured-user-images.githubusercontent.com/ user-images.githubusercontent.com/ private-user-images.githubusercontent.com opengraph.githubassets.com github-production-user-asset-6210df.s3.amazonaws.com customer-stories-feed.github.com spotlights-feed.github.com objects-origin.githubusercontent.com *.githubusercontent.com; manifest-src 'self'; media-src github.com user-images.githubusercontent.com/ secured-user-images.githubusercontent.com/ private-user-images.githubusercontent.com github-production-user-asset-6210df.s3.amazonaws.com gist.github.com github.githubassets.com; script-src github.githubassets.com; style-src 'unsafe-inline' github.githubassets.com; upgrade-insecure-requests; worker-src github.com/assets-cdn/worker/ github.com/webpack/ github.com/assets/ gist.github.com/assets-cdn/worker/
security_info_headers_X-Frame-Options,deny
security_info_headers_X-Content-Type-Options,nosniff
security_info_headers_X-XSS-Protection,0
security_info_headers_Referrer-Policy,"origin-when-cross-origin, strict-origin-when-cross-origin"
security_info_headers_Feature-Policy,
security_info_headers_Access-Control-Allow-Origin,
metadata_scan_date,2024-12-25T11:35:31.637705
metadata_target,https://github.com/
metadata_domain,github.com
metadata_scan_duration,29.21595525741577
